ID,Company,Location,Sector,Designation,Job Description,Salary
892,Teabox,"Bengaluru Area, India","Food & Beverages, Retail",Copywriter/ Content Marketer,"  We're looking for a writer who can compose positive, informative write ups about Teabox and our products. Great write ups seamlessly entertain, inform users and keep them hooked on the website. The tricky part is that we're looking for people who can understand our tone, our customers and our sense of humour. For examples, have a look at our Facebook page, or sign up on the website to checkout o...",No salary provided
893,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
894,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
895,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Computer Software",Python Developers with MySql Experience,Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,No salary provided
896,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Computer Software",Python Developers with MySql Experience,Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,No salary provided
897,Travel Jar,"Bengaluru Area, India",Information Technology and Services,Software Developer (Ruby on Rails),Ruby on Rails Developer and Principal Engineer   We love open source development and encourage developers to open source their work or contribute to open source projects. Do you contribute to an open source project or write a blog? Let us know. We’re interested in what you’re excited about. Love and have mastered Ruby on Rails (and hopefully some other languages too) Bore friends by talking about...,No salary provided
898,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Customer Success Associate,"The Opportunity: Do you love helping and working with Customers all day along? Do you take Pride if customers realized the value of a product because of you? Do you enjoy being a Product Specialist and act as a bridge between our customers and our product and engineering teams? If so, this is a good opportunity to check out. As a Customer Success Associate, you are responsible to help and educate...",No salary provided
899,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Customer Success Associate,"The Opportunity: Do you love helping and working with Customers all day along? Do you take Pride if customers realized the value of a product because of you? Do you enjoy being a Product Specialist and act as a bridge between our customers and our product and engineering teams? If so, this is a good opportunity to check out. As a Customer Success Associate, you are responsible to help and educate...",No salary provided
900,Plavaga Software Solutions Pvt. Ltd.,"Bengaluru Area, India","Computer Software, Research, Information Technology and Services",Java Web Developer,"We are hunting for enthusiastic folks having experience in, or love for, building extra-ordinary applications. Doors are open at our Bangalore office for you to jump in. Read on to find more. Responsibilities Design, rapidly prototype, and implement scalable, reliable, and maintainable web applications using Java and Web 2.0 technologies. Enforce code quality through test driven development. Colla...",No salary provided
901,Plavaga Software Solutions Pvt. Ltd.,"Bengaluru Area, India","Computer Software, Research, Information Technology and Services",Java Web Developer,"We are hunting for enthusiastic folks having experience in, or love for, building extra-ordinary applications. Doors are open at our Bangalore office for you to jump in. Read on to find more. Responsibilities Design, rapidly prototype, and implement scalable, reliable, and maintainable web applications using Java and Web 2.0 technologies. Enforce code quality through test driven development. Colla...",No salary provided
902,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer C# - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
903,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer C# - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
904,Function Space,"Bengaluru Area, India",Higher Education,Copyeditor,"You will write and verify content on our website, advertisement, marketing and informational materials, and other communications  You will also write blogs and write content for online social media including website You will frequently help to develop marketing campaigns and concepts Daily tasks will include writing new materials, proofreading and editing on site...",No salary provided
905,Function Space,"Bengaluru Area, India",Higher Education,Copyeditor,"You will write and verify content on our website, advertisement, marketing and informational materials, and other communications  You will also write blogs and write content for online social media including website You will frequently help to develop marketing campaigns and concepts Daily tasks will include writing new materials, proofreading and editing on site...",No salary provided
906,MoEngage Inc.,"Bengaluru Area, India",Computer Software,Full Stack Engineer,"We are looking for kickass Software Developers and Architects who can be part of our small founding team and help us take our web, backend framework and big-data analytics aspects to the next level. We are looking to hire passionate techies/hackers who can write a scalable backend (or) data analytics infrastructure which can handle billions of data points from 1000s of apps in real-time. You will...",No salary provided
907,MoEngage Inc.,"Bengaluru Area, India",Computer Software,Full Stack Engineer,"We are looking for kickass Software Developers and Architects who can be part of our small founding team and help us take our web, backend framework and big-data analytics aspects to the next level. We are looking to hire passionate techies/hackers who can write a scalable backend (or) data analytics infrastructure which can handle billions of data points from 1000s of apps in real-time. You will...",No salary provided
908,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Information Technology and Services",UI Developer,"Front-end developers with 1+ years of experience. We need programmers who enjoy the freedom and chaos of working for a start-up, require little supervision, are logically very strong and love what they do....",No salary provided
909,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Information Technology and Services",UI Developer,"Front-end developers with 1+ years of experience. We need programmers who enjoy the freedom and chaos of working for a start-up, require little supervision, are logically very strong and love what they do....",No salary provided
910,PurpleRain,"Bengaluru Area, India",Internet,Wordpress Developer,"We’re looking for that rare individual with creative instinct to design incredible user experiences as well as the technical front end ability to assist with implementing them.If you’re interested the following we might have a great opportunity for you at PurpleRain. Designing, delivering and measuring better user experiences for some of the fast growing sites. Working closely with a small, proven...",No salary provided
911,PurpleRain,"Bengaluru Area, India",Internet,Wordpress Developer,"We’re looking for that rare individual with creative instinct to design incredible user experiences as well as the technical front end ability to assist with implementing them.If you’re interested the following we might have a great opportunity for you at PurpleRain. Designing, delivering and measuring better user experiences for some of the fast growing sites. Working closely with a small, proven...",No salary provided
912,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Chief Software Architect - Java - $100k,"Are you one of top Software Architects in the world?  Do enjoy solving the incredibly complex problems that no one else has been able to complete?  Are you 10x more productive than the typical developer?  Are you interested in earning $100,000 USD while working for the best companies from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, thi...",No salary provided
913,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Chief Software Architect - Java - $100k,"Are you one of top Software Architects in the world?  Do enjoy solving the incredibly complex problems that no one else has been able to complete?  Are you 10x more productive than the typical developer?  Are you interested in earning $100,000 USD while working for the best companies from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, thi...",No salary provided
914,Function Space,"Bengaluru Area, India",Higher Education,Software Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHP to join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
915,Function Space,"Bengaluru Area, India",Higher Education,Software Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHP to join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
916,LEAD Consultancy and Engineering services (India) Pvt Ltd,"Bengaluru Area, India",Construction,Design Engineer: Electrical / Public Health Engineering (Plumbing & Fire Safety),"Job Requirement: Design the Electrical/PHE &amp; Fire system for the building using Auto CADD/ Rivet software. Carry out the complete simulation and design calculations to arrive the right system for the project. Should have sound knowledge in the electrical/PHE system design,exposure on local &amp; international standards and statutory norms. Ability to collect and analyze data, draw conclusion,...",No salary provided
917,SignEasy,"Bengaluru Area, India",Graphic Design,Graphic Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses. We are looking for a graphic designer who can take a concept to finished product with great attention to detail by creating awesome designs to engage our users in innovative and delighting ways. You will create the visual brand and design for our core produc...",No salary provided
918,NoBroker.in,"Bengaluru Area, India","Internet, Writing and Editing, Online Media",Software Development Engineer II & III,"Responsibilities Build &amp; maintain the backbone of nobroker.in such as search platform, recommendation engine etc. Design backend architecture which is scalable and highly performant Quick prototyping to validate features Builds tools to make day to day life easy for customer support reps Ability to break larger problems into smaller ones and prioritize them Expertise in crafting object oriente...",No salary provided
919,Instamojo,"Bengaluru Area, India",Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",No salary provided
920,Adwit Digital,"Bengaluru Area, India",Marketing and Advertising,Digital Marketing Specialist,Plan and execute Digital Marketing campaigns Coordinate with clients Monitor and track campaign analytics Write copy for Ads and posts Come up with innovative ideas Be abreast of market trends...,No salary provided
921,LEAD Consultancy and Engineering services (India) Pvt Ltd,"Bengaluru Area, India",Construction,Design Engineer: Electrical / Public Health Engineering (Plumbing & Fire Safety),"Job Requirement: Design the Electrical/PHE &amp; Fire system for the building using Auto CADD/ Rivet software. Carry out the complete simulation and design calculations to arrive the right system for the project. Should have sound knowledge in the electrical/PHE system design,exposure on local &amp; international standards and statutory norms. Ability to collect and analyze data, draw conclusion,...",No salary provided
922,SignEasy,"Bengaluru Area, India",Graphic Design,Graphic Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses. We are looking for a graphic designer who can take a concept to finished product with great attention to detail by creating awesome designs to engage our users in innovative and delighting ways. You will create the visual brand and design for our core produc...",No salary provided
923,NoBroker.in,"Bengaluru Area, India","Internet, Writing and Editing, Online Media",Software Development Engineer II & III,"Responsibilities Build &amp; maintain the backbone of nobroker.in such as search platform, recommendation engine etc. Design backend architecture which is scalable and highly performant Quick prototyping to validate features Builds tools to make day to day life easy for customer support reps Ability to break larger problems into smaller ones and prioritize them Expertise in crafting object oriente...",No salary provided
924,iMind Your Business Solutions Pvt. Ltd,"Bengaluru Area, India","Information Technology and Services, Apparel & Fashion, Retail",Data Specialist,"Hiring for the client a boutique consulting firm, specializing in SAP, Software &amp; Technology Solutions to the fashion industry.  As a data scientist/Analyst, you will get to design and develop data-driven products and features. You will learn and employ the latest in data technologies to power these products. You will develop amazing consumer-facing applications as well as our in-house analyti...",No salary provided
925,Timesaverz Dotcom Pvt. Ltd.,"Bengaluru Area, India",Internet,Procurement Coordinator,"Procurement Coordinator - Bangalore As a Procurement Ccordinator you will be responsible for sourcing and managing vendors for various service categories and find more profitable suppliers. You KRAs would be linked to : Develop, lead and execute procurement strategies Track and report key functional metrics to reduce expenses and improve effectiveness Craft negotiation strategies and close deals w...",No salary provided
926,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
927,EQUiTOR Value Advisory Private Limited,"Bengaluru Area, India",Management Consulting,Associate - Projects,"EQUiTOR is a boutique mindspace where professionals pull their own weight. There are many reasons for choosing to work with us. We could go on an on but here are some, You always leave having learnt more, having acquired new skills and most importantly, having developed new ways of seeing (even yourself). You have the opportunity to work with an enviable roster of clients. Truly dream worthy. Been...",No salary provided
928,iMind Your Business Solutions Pvt. Ltd,"Bengaluru Area, India","Information Technology and Services, Apparel & Fashion, Retail",Data Specialist,"Hiring for the client a boutique consulting firm, specializing in SAP, Software &amp; Technology Solutions to the fashion industry.  As a data scientist/Analyst, you will get to design and develop data-driven products and features. You will learn and employ the latest in data technologies to power these products. You will develop amazing consumer-facing applications as well as our in-house analyti...",No salary provided
929,Categis Solutions Pvt. Ltd.,"Bengaluru Area, India",Computer Software,Project Associate,"Establish consistent project management best practices and standards, including objectives, measurements, monitoring.  Controlling planning / execution of project activities as well as resource acquisition and usage.  Determining resource needs and capacity planning for the projects.  Organizing and managing all phases of the project to ensure on-time completion.  Ability to think and act analytic...",No salary provided
930,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
931,Vehere Interactive (P) Ltd,"Bengaluru Area, India","Information Technology and Services, Computer Software, Telecommunications","""Kolkata Calling"" for Engineers who like to solve complex problems","Positions opened in the field of Software Development and Technology - Developers, Senior Developers, Technical Architect and Project Managers. Exceptionally bright Freshers will also be considered. Many of our products need deep domain knowledge in one of the following IP Protocols such as TCP/UDP/SCTP/STP/SIP/RTCP/Megaco etc Deep Packet Inspection GSM and CDMA Network and Next Generation Network...",No salary provided
932,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
933,KNOLSKAPE,"Bengaluru Area, India",Online Media,"Graphics Designer (Web, Print and Online Media)","Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates...",No salary provided
934,Categis Solutions Pvt. Ltd.,"Bengaluru Area, India",Computer Software,Project Associate,"Establish consistent project management best practices and standards, including objectives, measurements, monitoring.  Controlling planning / execution of project activities as well as resource acquisition and usage.  Determining resource needs and capacity planning for the projects.  Organizing and managing all phases of the project to ensure on-time completion.  Ability to think and act analytic...",No salary provided
935,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
936,Vehere Interactive (P) Ltd,"Bengaluru Area, India","Information Technology and Services, Computer Software, Telecommunications","""Kolkata Calling"" for Engineers who like to solve complex problems","Positions opened in the field of Software Development and Technology - Developers, Senior Developers, Technical Architect and Project Managers. Exceptionally bright Freshers will also be considered. Many of our products need deep domain knowledge in one of the following IP Protocols such as TCP/UDP/SCTP/STP/SIP/RTCP/Megaco etc Deep Packet Inspection GSM and CDMA Network and Next Generation Network...",No salary provided
937,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
938,KNOLSKAPE,"Bengaluru Area, India",Online Media,"Graphics Designer (Web, Print and Online Media)","Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates...",No salary provided
939,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
940,DeltaX,"Bengaluru Area, India","Online Media, Information Technology and Services, Marketing and Advertising",HR & Administration (Culture & Operations),"- Drive campus engagement and recruitment - Lateral hiring - job posting, application screening, interview scheduling - Maintaining personnel records - New employee induction, training co-ordination - Obtaining consultants, freelancers and temporary staff if and when needed - Co-ordinate leadership meetings (internal and external) - Ensure day-to-day smooth functioning of office - Ad-hoc tasks suc...",No salary provided
941,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
942,1Health,"Bengaluru Area, India","Health, Wellness and Fitness",Executive Assistant,"Summary:   This position at 1H comes with the primary responsibility to support the Founder(s)/Directors of the company in a variety of tasks ranging from HR, Office Administration and Sales &amp; Marketing support. This position will be unique in the company and responsible for helping coordinate and lead various tasks across the different functions. Being employee # 1, this individual will be ex...",No salary provided
943,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
944,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
945,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
946,Wisely Online Services Private Limited,"Bengaluru Area, India",Internet,Web Application Developer,"1. Develop, test and support www.engagewise.com 2. May involve development of new web applications. 3. Collaborating with project managers and front end developers....",No salary provided
947,Theron International,"Bengaluru Area, India",Information Technology and Services,Principle Engineer / Senior Technical Architect – Product Engineering & Innovation,"You are a talented, energetic, and creative Principal Software Engineer with proven architecture, design, implementation and technology leadership skills in web based enterprise grade, high availability and high scalability applications. This highly technical leader will be responsible for the architecture and development of key functional areas of Applications, to ensure the system effectively de...",No salary provided
948,Function Space,"Bengaluru Area, India",Higher Education,Software Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHP to join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
949,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Customer Success Associate,"The Opportunity: Do you love helping and working with Customers all day along? Do you take Pride if customers realized the value of a product because of you? Do you enjoy being a Product Specialist and act as a bridge between our customers and our product and engineering teams? If so, this is a good opportunity to check out. As a Customer Success Associate, you are responsible to help and educate...",No salary provided
950,Function Space,"Bengaluru Area, India",Higher Education,Software Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHP to join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
951,Wisden India,"Bengaluru Area, India","Internet, Publishing",Web Developer,"Job Title:  Web Developer / Junior Web Developer Reporting to: Project Manager, Bangalore Context: Wisden India believes that there's still a place for intelligent writing. Ours is a combination of reportage and analysis, concise and hard-hitting. But fine writing is but one part of the package. We are excited by new media, and will be using it extensively, driven by Wisden's brand values. There w...",No salary provided
952,Foradian,"Bengaluru Area, India",Information Technology and Services,Web Application Tester,"Foradian, the world's leading provider of School Management ERP software is looking for a passionate tester to join its Testing Team in testing its unparalleled web based products - Fedena (ERP) and Uzity (LMS). If you feel you possess the below qualities, do get in touch with us. You are open to switching from your current domain to educational domain You are a tester by nature You feel that the...",No salary provided
953,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Software Engineer - Network,"Modify IP network stack on Linux Optimising TCP and benchmarking results Write simulators for network test Automation of network testing Though this list is neither definitive nor exhaustive, it gives a fair idea what you can expect in this role....",No salary provided
954,SocialHelpouts,"Bengaluru Area, India",Computer Software,Web Developer,"What we do: We bring you the best jobs and connect you with them through your own network. Try now: http://socialhelpouts.com What you will do: As a Web Developer, you will work on our fast growing product. In addition to web app, you will also get a chance to build our upcoming mobile apps....",No salary provided
955,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
956,Wisden India,"Bengaluru Area, India","Internet, Publishing",Web Developer,"Job Title:  Web Developer / Junior Web Developer Reporting to: Project Manager, Bangalore Context: Wisden India believes that there's still a place for intelligent writing. Ours is a combination of reportage and analysis, concise and hard-hitting. But fine writing is but one part of the package. We are excited by new media, and will be using it extensively, driven by Wisden's brand values. There w...",No salary provided
957,Foradian,"Bengaluru Area, India",Information Technology and Services,Web Application Tester,"Foradian, the world's leading provider of School Management ERP software is looking for a passionate tester to join its Testing Team in testing its unparalleled web based products - Fedena (ERP) and Uzity (LMS). If you feel you possess the below qualities, do get in touch with us. You are open to switching from your current domain to educational domain You are a tester by nature You feel that the...",No salary provided
958,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Software Engineer - Network,"Modify IP network stack on Linux Optimising TCP and benchmarking results Write simulators for network test Automation of network testing Though this list is neither definitive nor exhaustive, it gives a fair idea what you can expect in this role....",No salary provided
959,SocialHelpouts,"Bengaluru Area, India",Computer Software,Web Developer,"What we do: We bring you the best jobs and connect you with them through your own network. Try now: http://socialhelpouts.com What you will do: As a Web Developer, you will work on our fast growing product. In addition to web app, you will also get a chance to build our upcoming mobile apps....",No salary provided
960,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
961,Blue Ocean Ventures,"Bengaluru Area, India",Staffing and Recruiting,US Technical Recruiter,"Hi,   Greetings from Blue Ocean Ventures, Bangalore. We have below requirements for our company.   Title: US Recruiter / Sr. Recruiter Location: Kormangala-Bangalore Salary: Open to market Process: US- Night Shifts   Requirements:   Minimum 2 years of recruiting experience preferred Fulltime recruiting experience will be preferred Excellent Communication &amp; Presentation skills   Responsibilitie...",No salary provided
962,Juniper Engineering Solutions,"Bengaluru Area, India",Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,No salary provided
963,COGXIO.COM,"Bengaluru Area, India","Consumer Services, Internet, Research",UI/UX Designer,"Summary : If you’ve built  mobile products which you believe are on the cutting edge of UI design; if you are fanatical about improving user experience and in doing so making the world a better place; and if you are excited about working on a product where the world is your market, we would love to meet you. Job Description: ? Ability to understand user behavior and identify actionable user insigh...",No salary provided
964,Primaseller,"Bengaluru Area, India",Retail,Web Content Writer,1. He or she will create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product  ...,No salary provided
965,Blue Ocean Ventures,"Bengaluru Area, India",Staffing and Recruiting,US Technical Recruiter,"Hi,   Greetings from Blue Ocean Ventures, Bangalore. We have below requirements for our company.   Title: US Recruiter / Sr. Recruiter Location: Kormangala-Bangalore Salary: Open to market Process: US- Night Shifts   Requirements:   Minimum 2 years of recruiting experience preferred Fulltime recruiting experience will be preferred Excellent Communication &amp; Presentation skills   Responsibilitie...",No salary provided
966,Juniper Engineering Solutions,"Bengaluru Area, India",Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,No salary provided
967,COGXIO.COM,"Bengaluru Area, India","Consumer Services, Internet, Research",UI/UX Designer,"Summary : If you’ve built  mobile products which you believe are on the cutting edge of UI design; if you are fanatical about improving user experience and in doing so making the world a better place; and if you are excited about working on a product where the world is your market, we would love to meet you. Job Description: ? Ability to understand user behavior and identify actionable user insigh...",No salary provided
968,Primaseller,"Bengaluru Area, India",Retail,Web Content Writer,1. He or she will create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product  ...,No salary provided
969,Zamstars Management Services (I) Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Graphic Designer,"We’re looking for exceptionally talented Graphic Designers to work with us on Branding, Print and Online Design Projects.   As the Graphic Designer Specialist at Zamstars, you must have: A Brilliant Graphic Design Portfolio, with key projects in Branding and Communication Software Skills: Illustrator + Photoshop Minimum 2-3 years of experience working in Branding and Communication in advertising w...",No salary provided
970,Genwi,"Bengaluru Area, India",Computer Software,QA Engineer,"GENWI is looking for QA engineer to plan &amp; execute QA activities for Genwi Platform and Mobile Apps. As the QA Engineer, your key responsibilities would include : Plan the QA activities of Genwi Platform and iOS, Android &amp; HTML5 Apps Develop testcases for GENWI Platform and Apps Manual testing of GENWI Platform and iOS, Android &amp; HTML5 apps Managing iOS, Android and HTML5 Apps build an...",No salary provided
971,HireAtEase Consulting Private Limited,"Bengaluru Area, India","Computer Software, Information Technology and Services",Delivery Head Advanced Analytics (Retail / CPG),Client - Leading Analytcis Service Provider Role: Delivery Head  Location: Bangalore This is an opportunity to be part of a growing Advanced Analytics practice to delivery End-to-End Advanced Analytics solutions to global customers in Retail /CPG domain. JD for Delivery Head: Key responsibilities will include: Provide leadership and manage the delivery organization for overall account portfolio. W...,Competitive
972,Zamstars Management Services (I) Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Graphic Designer,"We’re looking for exceptionally talented Graphic Designers to work with us on Branding, Print and Online Design Projects.   As the Graphic Designer Specialist at Zamstars, you must have: A Brilliant Graphic Design Portfolio, with key projects in Branding and Communication Software Skills: Illustrator + Photoshop Minimum 2-3 years of experience working in Branding and Communication in advertising w...",No salary provided
